origin,h,S,log_w
2016-11,12,0.0017894065308163192,-5502.067529767986
2016-12,1,0.0001536503103885204,-22.36900805073697
2016-12,2,0.00033589039725502416,-48.68161386276833
2016-12,3,0.0003408365498052896,-48.68161386276833
2016-12,4,0.0005005215177620349,-1980.3187153540418
2016-12,5,0.00029328700587554716,-3362.3906214315093
2016-12,6,0.00030855684905813,-4138.41881582437
2016-12,7,0.0003982383867061987,-4758.187657886687
2016-12,8,0.0003514679430312445,-5056.476901978912
2016-12,9,0.000628625894138043,-5261.099787782828
2016-12,10,0.0008100175090798682,-5380.167237888983
2016-12,11,0.0018822381662114704,-5490.354200456732
2016-12,12,0.0031890350512693852,-5600.288025991114
2017-01,1,0.00017433048605040077,-22.128006301258328
2017-01,2,0.00022004257829469267,-43.67834547664356
2017-01,3,0.00045267696978127867,-43.67834547664356
2017-01,4,0.00030798786367609333,-1975.315446967917
2017-01,5,0.00033984855963036225,-3357.1390701255737
2017-01,6,0.0004265761583488771,-4157.02474716951
2017-01,7,0.0003803952710217731,-4776.685790321025
2017-01,8,0.0006630662977930857,-5060.483478268917
2017-01,9,0.0008422008522005588,-5277.318518167702
2017-01,10,0.0019142777576134822,-5406.00017770041
2017-01,11,0.0032241303162410416,-5515.934003234793
2017-01,12,0.00330566179605952,-5634.870392274973
2017-02,1,4.719996836472732e-05,-17.72182149522527
2017-02,2,0.00030247102524807133,-32.862687719575206
2017-02,3,0.00021796088548995535,-32.862687719575206
2017-02,4,0.0002991810526389565,-1964.2515062910381
2017-02,5,0.0003990273136027702,-3377.7664123732584
2017-02,6,0.0003523829386054521,-4177.544290506392
2017-02,7,0.0006327187847936797,-4776.304304562538
2017-02,8,0.0008133919622572965,-5074.450637588978
2017-02,9,0.0018766560278048322,-5304.104623389833
2017-02,10,0.003184500349233078,-5432.533145889176
2017-02,11,0.0032636871076545185,-5551.469534929356
2017-02,12,0.003191919121629268,-5679.919615655618
2017-03,1,0.0002523436704554866,-12.024512205416126
2017-03,2,0.00021154874818433804,-27.165378429766065
2017-03,3,0.00034315756449381125,-26.917095509955445
2017-03,4,0.0004970223496693609,-1995.6945062957916
2017-03,5,0.00046787085174700236,-3409.1016134672095
2017-03,6,0.0007402450579303763,-4185.12980786007
2017-03,7,0.0009248983496608094,-4804.647939945799
2017-03,8,0.0019873802913141963,-5117.749709857988
2017-03,9,0.0032929904951276958,-5347.150558625478
2017-03,10,0.003369645823599581,-5485.2938082918445
2017-03,11,0.003295643231411777,-5613.7438890181065
2017-03,12,0.002922319977880867,-5732.680278058287
2017-04,1,3.853668036166071e-05,-12.024512205416126
2017-04,2,0.0001509545118305762,-26.917095509955445
2017-04,3,0.00037372831682849425,-27.0248944207579
2017-04,4,0.00036934654123230073,-1995.6945062957914
2017-04,5,0.0006392360366744305,-3377.5181294534477
2017-04,6,0.0008184218076825664,-4177.153096520796
2017-04,7,0.0018799033100006662,-4818.036138443309
2017-04,8,0.0031838638332742277,-5130.884771322132
2017-04,9,0.0032581615633674255,-5373.205083732164
2017-04,10,0.003181477751989609,-5521.574188745839
2017-04,11,0.002816990312178377,-5640.510577786019
2017-04,12,0.002543484548663528,-5769.0611762527515
2017-05,1,0.0001837551068182893,-11.776229285605506
2017-05,2,0.000440444005649597,-23.82015794524024
2017-05,3,0.0005018087103762963,-23.82015794524024
2017-05,4,0.0007912822575239179,-1955.2089765167032
2017-05,5,0.0009731441853399548,-3368.4731726223354
2017-05,6,0.0020267021471686835,-4192.321704171372
2017-05,7,0.003338690888733297,-4832.95160906052
2017-05,8,0.003410906413150474,-5160.856196565564
2017-05,9,0.0033320779960172636,-5416.607100798421
2017-05,10,0.0029742912337450715,-5554.7503504647875
2017-05,11,0.0027036355804360736,-5683.30094893152
2017-05,12,0.002193659119000056,-5810.977056217022
2017-06,1,0.0002495939551881493,-9.283656471313993
2017-06,2,0.00037266468203864603,-21.21978622014627
2017-06,3,0.000729393641570604,-20.971503300335648
2017-06,4,0.0009315075178788906,-1989.4982041095836
2017-06,5,0.0019750148242991747,-3434.809764970392
2017-06,6,0.0032907055925978047,-4258.405159486064
2017-06,7,0.0033637147805427687,-4920.500491952467
2017-06,8,0.003282163265485933,-5263.972162264015
2017-06,9,0.0029314322410608938,-5506.292474674047
2017-06,10,0.002662135337414092,-5654.762097428193
2017-06,11,0.0021586322513496474,-5782.438204713695
2017-06,12,0.0018446930662818937,-5930.217222033534
